,ZipCode,City,State,Latitude,Longitude,Metro,CountyName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,Latitude,Longitude
30,55343,Hopkins,MN,44.9271194,-93.4074945,Minneapolis-St. Paul-Bloomington,Hennepin County,2837,188800.0,189800.0,191900.0,194100.0,195200.0,195600.0,196000.0,196300.0,196300.0,196200.0,196500.0,196900.0,197700.0,198900.0,200600.0,202700.0,204100.0,204800.0,206000,207300,208300,209300,210900,212700,213900,215200,216600,217900,218500,219100,219500,220000,220300,220400,220600,221900,223600,224500,225100,226600,229200,232500,235400,237000,238100,239500,241100,242200,243900,246500,248700,249800,250200,250300,250600,251900,254100,255900,257000,257200,257500,258000,44.9271194,-93.4074945
31,55404,Minneapolis,MN,44.9772995,-93.2654692,Minneapolis-St. Paul-Bloomington,Hennepin County,2846,149600.0,149600.0,151100.0,152900.0,153400.0,153500.0,154000.0,154800.0,155200.0,155100.0,154900.0,155000.0,155300.0,156000.0,157800.0,160900.0,163500.0,164700.0,165500,167100,168500,169200,169800,171300,173300,175200,176700,177800,178700,179500,180100,181500,183400,184900,185800,186900,188100,189600,191500,193500,195400,197900,199900,200700,201600,203000,204400,206100,208500,211400,213900,215400,216100,216200,216200,216700,218200,220200,221800,222400,222600,222900,44.9772995,-93.2654692
32,55118,West Saint Paul,MN,44.916091,-93.1016275,Minneapolis-St. Paul-Bloomington,Dakota County,2933,183500.0,184900.0,185000.0,185300.0,186100.0,186700.0,187000.0,187400.0,188000.0,188500.0,189700.0,191500.0,193400.0,194500.0,196300.0,198900.0,201000.0,201800.0,202600,203900,206300,208400,209400,209900,210500,212100,214800,217400,218700,220700,223100,224800,225700,227000,227700,227600,227500,228300,230000,231800,233600,235300,235600,234400,233600,233900,235200,236800,238800,240900,244300,247300,248800,249400,250700,251600,253000,255400,257400,258500,259600,260900,44.916091,-93.1016275
33,55422,Robbinsdale,MN,45.031696,-93.3353198,Minneapolis-St. Paul-Bloomington,Hennepin County,3017,164600.0,165200.0,167000.0,168900.0,170000.0,170800.0,171700.0,172200.0,172300.0,172000.0,171900.0,172300.0,172900.0,174100.0,176100.0,178400.0,180100.0,181300.0,182600,184100,185200,186100,187000,187900,189000,190600,192500,193800,194400,194900,195700,196100,196700,197900,199200,200700,202000,203300,204700,206500,208400,210900,213300,215400,217800,220300,222300,224100,226000,227400,228500,230100,231600,232300,232500,232900,233500,234100,234700,235600,236800,237700,45.031696,-93.3353198
34,55372,Prior Lake,MN,44.7133271,-93.4226873,Minneapolis-St. Paul-Bloomington,Scott County,3020,253800.0,256400.0,260000.0,262700.0,264100.0,265000.0,265300.0,264100.0,262400.0,261300.0,260700.0,259800.0,259300.0,259700.0,261500.0,263800.0,265900.0,267600.0,269200,270500,271100,271000,271100,272200,273700,275300,277000,278600,279700,281600,283800,285600,287200,289200,291500,293700,296400,298900,301300,303200,304700,304400,304400,306300,309300,311400,312700,313600,316000,319600,322900,325000,326500,326700,325600,324500,324600,326100,328100,329900,331400,332800,44.7133271,-93.4226873
35,55016,Cottage Grove,MN,44.8277446,-92.9438218,Minneapolis-St. Paul-Bloomington,Washington County,3041,202600.0,202900.0,203200.0,203600.0,204400.0,205800.0,207200.0,208100.0,208100.0,207700.0,207300.0,207500.0,208100.0,209100.0,210000.0,210600.0,210700.0,211200.0,212000,212800,214100,215500,216100,216600,218000,220100,222000,223100,223600,223900,224500,225000,225600,226500,227500,228400,229800,232200,234800,237100,238800,239800,240100,240500,241500,242500,244000,245700,247400,249000,250200,250700,251700,253100,254100,253900,253600,254700,256400,257800,259000,259600,44.8277446,-92.9438218
36,55421,Columbia Heights,MN,45.0460458,-93.2517802,Minneapolis-St. Paul-Bloomington,Anoka County,3146,144200.0,144100.0,144300.0,145000.0,145800.0,145800.0,145100.0,144900.0,145300.0,145900.0,146100.0,146400.0,147100.0,148000.0,149300.0,151200.0,153200.0,155100.0,157100,158300,158600,158600,159400,161200,162900,164500,165900,167100,168100,168900,169900,170800,171800,172700,174200,176200,177900,179100,180200,181700,183200,184200,184700,185500,186600,187600,188300,189100,190500,192700,195000,197300,199500,200800,201600,203400,205700,207700,209700,211800,213600,214900,45.0460458,-93.2517802
37,55116,Saint Paul,MN,44.9504037,-93.1015026,Minneapolis-St. Paul-Bloomington,Ramsey County,3156,271500.0,273000.0,275400.0,277400.0,278200.0,278900.0,279700.0,280100.0,280200.0,280400.0,280200.0,279800.0,280400.0,281700.0,281800.0,281400.0,281500.0,282200.0,283400,284700,285300,285300,284800,283100,281500,281000,281900,282700,284000,286500,290500,294800,298500,300800,302700,306400,311700,315600,316900,317400,318900,321000,322500,324200,326400,327200,326200,325900,326700,327800,330000,333400,336300,336800,335900,334900,334800,336400,338900,340900,341900,342700,44.9504037,-93.1015026
38,55443,Brooklyn Park,MN,45.1004807,-93.3443585,Minneapolis-St. Paul-Bloomington,Hennepin County,3201,192500.0,193500.0,195000.0,196800.0,198600.0,200000.0,201200.0,202300.0,203300.0,204100.0,204600.0,205000.0,205500.0,206400.0,207300.0,208700.0,210800.0,213300.0,215400,217100,218300,219200,220200,221600,223400,225300,227500,229600,230800,231400,231500,231600,231600,231900,231800,232200,232900,233800,234900,236300,238000,240300,242200,243200,244000,244900,245900,247100,248500,250400,252600,255300,257400,258500,260100,261800,263100,264600,266800,268400,269100,269400,45.1004807,-93.3443585
39,55426,Saint Louis Park,MN,44.9475726,-93.3569023,Minneapolis-St. Paul-Bloomington,Hennepin County,3242,206400.0,206600.0,208000.0,210400.0,212600.0,213900.0,214500.0,214900.0,215200.0,215400.0,215900.0,216400.0,216600.0,217400.0,219100.0,221100.0,221900.0,221800.0,222000,222900,223800,224700,226000,227700,229700,231800,233700,234400,234500,235000,236000,237000,238200,239200,239400,240000,240800,241800,242800,244700,247000,249800,252400,254600,256400,258500,260400,262200,265000,268300,271000,273000,274200,275600,276800,276400,276000,277000,278500,279600,280200,280300,44.9475726,-93.3569023
40,55428,New Hope,MN,45.0380201,-93.3866185,Minneapolis-St. Paul-Bloomington,Hennepin County,3252,156000.0,156500.0,157800.0,159400.0,160200.0,160100.0,159800.0,159900.0,160100.0,160300.0,160700.0,161300.0,162000.0,162900.0,164300.0,165900.0,167100.0,168100.0,169200,170000,170600,171500,172700,173800,175000,176400,178400,180500,182200,183600,184700,185600,186800,187900,188500,189200,190000,190900,192200,193900,195800,197800,199300,200300,201200,202400,203600,205100,207200,209400,211400,213400,215400,216900,218100,219200,220400,222000,223900,225500,226600,227300,45.0380201,-93.3866185
41,55128,Oakdale,MN,44.9630216,-92.9649361,Minneapolis-St. Paul-Bloomington,Washington County,3297,187400.0,188700.0,189600.0,190000.0,190300.0,191200.0,192400.0,193100.0,192900.0,193100.0,192900.0,192600.0,192700.0,193100.0,193800.0,195100.0,196500.0,198000.0,199400,200700,202100,203800,205200,207100,209900,212700,214100,214100,214000,214300,214600,215000,216000,217400,218700,219800,221000,222700,224800,227200,228700,229300,229000,228800,229300,230200,231700,233700,235700,237400,238900,240000,241100,242500,243900,244600,245400,247000,248600,250300,251900,252800,44.9630216,-92.9649361
42,55024,Farmington,MN,44.6402434,-93.1435497,Minneapolis-St. Paul-Bloomington,Dakota County,3311,208100.0,209300.0,210400.0,211700.0,213500.0,215300.0,216700.0,218100.0,219600.0,220700.0,220700.0,220100.0,220700.0,222500.0,224400.0,226100.0,227100.0,227600.0,227800,228000,228500,229100,229400,230200,231800,233500,235100,236900,238300,239800,241400,243000,244600,246300,247600,248400,249300,250800,252700,254000,255200,257300,259000,259200,259100,259600,260600,262200,263900,265100,267500,270600,273200,274200,274400,274100,273600,273700,274300,275500,277100,278900,44.6402434,-93.1435497
